date,max_temp,min_temp
2026-09-25,28.5,20.0
2026-09-26,27.6,20.1
2026-09-27,27.5,18.3
2026-09-28,27.1,20.6
2026-09-29,26.1,21.1
2026-09-30,26.5,20.1
2026-10-01,25.9,20.5
